"Código","CPF","Nome Completo","Sexo","Fone","Estado Civil","Data de Nascimento","CEP","Endereço Residencial","Bairro","Cidade","Estado","Peso em KG","Altura em CM","Número do Cartão","Vencimento do Cartão","Bandeira","Email"
5050,106.981.584-58,Beatrice Almeida Alves,Feminino,(84) 6171-4798,Casado,11/08/1949,59131-190,"Rua Maracaí, 1822",Pajuçara,Natal,RN, 85.40 ,154,4916 **** **** 0344,Jul / 24,Visa,BeatriceAlmeidaAlves@rhyta.com
5587,356.070.386-70,Beatriz Almeida Araujo,Feminino,(11) 8318-9144,Solteiro,11/12/1951,03572-390,"Rua Irirana, 710",Jardim Santa Terezinha (Zona Leste),São Paulo,SP, 97.40 ,158,4539 **** **** 4389,Jun / 24,Visa,BeatrizAlmeidaAraujo@superrito.com
6106,775.145.762-74,Bianca Almeida Barros,Feminino,(21) 6535-4440,Casado,25/04/1970,23042-470,"Rua Soldado Francisco Malafáia, 620",Campo Grande,Rio de Janeiro,RJ, 89.40 ,154,5433 **** **** 9775,Jul / 26,MasterCard,BiancaAlmeidaBarros@cuvox.de
6616,129.066.120-06,Brenda Almeida Araujo,Feminino,(11) 4824-4811,Casado,19/09/1967,02322-190,"Rua Arroz, 1457",Parque Casa de Pedra,São Paulo,SP, 97.60 ,165,5483 **** **** 9084,Fev / 22,MasterCard,BrendaAlmeidaAraujo@fleckens.hu
7132,336.286.616-68,Breno Almeida Alves,Masculino,(61) 9350-7437,Solteiro,09/07/1952,70832-550,"Quadra CLN 202, 1470",Asa Norte,Brasília,DF, 94.10 ,169,5262 **** **** 8878,Jul / 25,MasterCard,BrenoAlmeidaAlves@einrot.com
7620,636.371.109-62,Bruna Almeida Araujo,Feminino,(11) 7478-4155,Casado,20/01/1976,06685-020,"Avenida Cruz Grande, 1497",Chácaras Monte Serrat,Itapevi,SP, 92.20 ,156,5397 **** **** 6200,Jun / 22,MasterCard,BrunaAlmeidaAraujo@gustr.com
8132,882.919.042-00,Bruno Almeida Alves,Masculino,(71) 9490-5522,Solteiro,20/09/1982,40155-800,"Travessa Ranulfo, 174",Jardim Apipema,Salvador,BA, 81.80 ,168,4485 **** **** 3504,Jan / 23,Visa,BrunoAlmeidaAlves@teleworm.us
8615,348.980.563-18,Caio Almeida Araujo,Masculino,(71) 3618-3468,Solteiro,07/09/1945,40300-405,"Travessa Freitas Henrique de Baixo, 1240",Baixa de Quintas,Salvador,BA, 97.10 ,182,4716 **** **** 3716,Dez / 25,Visa,CaioAlmeidaAraujo@armyspy.com
9109,823.543.195-50,Camila Almeida Alves,Feminino,(19) 2177-6626,Casado,11/11/1967,13601-005,"Avenida Nestlé, 15",Vila Michelin,Araras,SP, 91.00 ,168,4485 **** **** 6283,Dez / 22,Visa,CamilaAlmeidaAlves@einrot.com
9622,878.181.923-44,Carla Almeida Alves,Feminino,(71) 6775-4931,Solteiro,06/04/1959,40024-085,"Rua Araçarina, 1745",Barroquinha,Salvador,BA, 83.40 ,172,5255 **** **** 0634,Jun / 25,MasterCard,CarlaAlmeidaAlves@dayrep.com
10127,744.856.742-07,Carlos Almeida Alves,Masculino,(21) 6196-6132,Solteiro,10/04/1953,21010-010,"Rua Itapuva, 1839",Parada de Lucas,Rio de Janeiro,RJ, 90.80 ,170,4556 **** **** 4300,Nov / 22,Visa,CarlosAlmeidaAlves@cuvox.de
10580,223.055.493-00,Carolina Almeida Azevedo,Feminino,(81) 9872-7266,Casado,03/11/1980,54768-200,"Rua dos Bibliotecários, 24",Timbí,Camaragibe,PE, 86.00 ,174,4556 **** **** 3151,Fev / 22,Visa,CarolinaAlmeidaAzevedo@armyspy.com
11133,322.635.754-99,Cauã Almeida Alves,Masculino,(11) 6685-4852,Solteiro,14/06/1952,05869-250,"Rua Marco Basaiti, 1161",Capão Redondo,São Paulo,SP, 104.80 ,165,5252 **** **** 5838,Abr / 23,MasterCard,CauaAlmeidaAlves@armyspy.com
11617,263.162.344-49,Clara Almeida Alves,Feminino,(47) 3173-4307,Casado,02/08/1959,89254-060,"Rua Luciano Zapella, 308",Água Verde,Jaraguá do Sul,SC, 87.50 ,156,5548 **** **** 0519,Set / 26,MasterCard,ClaraAlmeidaAlves@rhyta.com
12126,160.826.786-56,Daniel Almeida Alves,Masculino,(61) 7745-6747,Casado,01/05/1955,72862-606,"Quadra Quadra 6, 1772",Loteamento Lunabel 3C,Novo Gama,GO, 85.10 ,175,4485 **** **** 6800,Ago / 22,Visa,DanielAlmeidaAlves@dayrep.com
12616,472.731.567-01,Danilo Almeida Alves,Masculino,(62) 8257-9985,Solteiro,19/10/1929,74463-520,"Rua 8-B, 137",Setor Santos Dumont,Goiânia,GO, 84.60 ,181,4916 **** **** 9615,Mai / 22,Visa,DaniloAlmeidaAlves@dayrep.com
13134,512.537.849-65,Davi Almeida Alves,Masculino,(61) 7151-8003,Solteiro,25/08/1995,70745-530,"Quadra CLN 306 Bloco C, 1534",Asa Norte,Brasília,DF, 56.80 ,166,5522 **** **** 4512,Mar / 25,MasterCard,DaviAlmeidaAlves@gustr.com
13619,370.540.997-29,Diego Almeida Alves,Masculino,(11) 6643-2702,Solteiro,01/04/1944,09015-310,"Avenida Queirós dos Santos, 1073",Centro,Santo André,SP, 74.00 ,169,4556 **** **** 0422,Jan / 24,Visa,DiegoAlmeidaAlves@teleworm.us
14125,625.900.707-80,Diogo Almeida Azevedo,Masculino,(18) 6659-8184,Solteiro,18/07/1963,16201-241,"Rua Miguel Locci, 1144",Residencial São José,Birigüi,SP, 91.30 ,167,5314 **** **** 1726,Jan / 25,MasterCard,DiogoAlmeidaAzevedo@dayrep.com
14613,151.678.855-90,Douglas Almeida Azevedo,Masculino,(71) 8003-8163,Solteiro,24/05/1993,41950-000,"Avenida Oceânica, 88",Rio Vermelho,Salvador,BA, 56.90 ,167,4532 **** **** 1374,Abr / 23,Visa,DouglasAlmeidaAzevedo@einrot.com
15113,731.005.330-38,Eduarda Almeida Barbosa,Feminino,(85) 8388-8810,Casado,07/05/1931,60110-470,"Rua Benedito Gomes Diniz, 1311",Joaquim Távora,Fortaleza,CE, 64.10 ,168,4929 **** **** 0547,Jan / 22,Visa,EduardaAlmeidaBarbosa@superrito.com
15613,275.362.933-13,Eduardo Almeida Alves,Masculino,(19) 9328-4128,Solteiro,15/09/1940,13405-043,"Rua Acácio Leite do Canto Júnior, 1465",Nova Piracicaba,Piracicaba,SP, 63.60 ,171,4539 **** **** 4245,Mar / 23,Visa,EduardoAlmeidaAlves@armyspy.com
16099,918.016.316-54,Emilly Almeida Alves,Feminino,(12) 3318-2111,Solteiro,11/08/1948,12225-240,"Avenida Maria Adolfina de Almeida Tomaz, 568",Jardim Paraíso do Sol,São José dos Campos,SP, 90.40 ,165,5567 **** **** 9302,Abr / 23,MasterCard,EmillyAlmeidaAlves@superrito.com
16591,640.533.665-42,Emily Almeida Alves,Feminino,(11) 4381-6303,Solteiro,29/10/1932,09040-420,"Rua Santo Inácio, 1849",Jardim Bela Vista,Santo André,SP, 70.90 ,159,5549 **** **** 1141,Nov / 26,MasterCard,EmilyAlmeidaAlves@teleworm.us
17085,338.717.310-56,Enzo Almeida Azevedo,Masculino,(11) 3518-4698,Solteiro,25/02/1945,06700-178,"Rua Doutor Antônio Bastos, 1612",Granja Carolina,Cotia,SP, 91.40 ,172,5582 **** **** 8733,Jan / 25,MasterCard,EnzoAlmeidaAzevedo@gustr.com
17568,483.582.287-08,Erick Almeida Alves,Masculino,(31) 4720-4299,Solteiro,06/10/1964,33145-150,"Rua José Sieiro Barreto, 1480",Conjunto Cristina (São Benedito),Santa Luzia,MG, 68.50 ,183,4539 **** **** 2883,Jan / 22,Visa,ErickAlmeidaAlves@armyspy.com
18047,762.874.876-74,Estevan Almeida Alves,Masculino,(81) 2852-8836,Solteiro,09/09/1948,50630-540,"Rua Hugo de Carvalho, 1533",Prado,Recife,PE, 96.00 ,176,5239 **** **** 8914,Jun / 23,MasterCard,EstevanAlmeidaAlves@rhyta.com
18547,661.077.461-70,Evelyn Almeida Barros,Feminino,(87) 5581-9922,Solteiro,28/05/1983,56320-280,"Rua Maestro João Olímpio, 1564",José e Maria,Petrolina,PE, 59.70 ,171,4716 **** **** 5069,Dez / 23,Visa,EvelynAlmeidaBarros@jourrapide.com
19063,869.644.446-96,Fábio Almeida Araujo,Masculino,(61) 3901-7515,Solteiro,20/09/1929,70660-071,"Quadra AOS 7 Bloco A, 1884",Área Octogonal,Brasília,DF, 69.60 ,173,5386 **** **** 9450,Mar / 25,MasterCard,FabioAlmeidaAraujo@cuvox.de
19579,586.537.194-07,Felipe Almeida Araujo,Masculino,(11) 7171-9072,Solteiro,17/08/1971,06680-155,"Rua Franca, 615",Jardim São Benedito,Itapevi,SP, 111.70 ,189,4556 **** **** 7486,Mai / 23,Visa,FelipeAlmeidaAraujo@teleworm.us
20080,570.357.416-15,Fernanda Almeida Alves,Feminino,(11) 5816-4436,Solteiro,29/11/1973,03689-080,"Rua Auguste Laurent, 1148",Jardim Nordeste,São Paulo,SP, 55.60 ,161,4532 **** **** 5986,Dez / 25,Visa,FernandaAlmeidaAlves@fleckens.hu
20609,216.197.586-28,Gabriel Almeida Azevedo,Masculino,(21) 5672-8310,Solteiro,22/08/1937,26272-020,"Rua Alice de Oliveira, 946",Jardim Nova Era,Nova Iguaçu,RJ, 61.90 ,170,4485 **** **** 0920,Set / 25,Visa,GabrielAlmeidaAzevedo@superrito.com
21103,986.431.348-72,Gabriela Almeida Azevedo,Feminino,(61) 5433-8542,Solteiro,15/03/1964,73754-132,"Quadra Quadra 32, 1035",Itapuã II,Planaltina,GO, 61.10 ,165,4485 **** **** 7678,Jan / 26,Visa,GabrielaAlmeidaAzevedo@jourrapide.com
21644,398.241.105-00,Gabrielle Almeida Araujo,Feminino,(61) 7923-7850,Casado,25/03/1970,70350-580,"Quadra EQS 506/507, 377",Asa Sul,Brasília,DF, 92.90 ,171,5138 **** **** 5532,Jan / 22,MasterCard,GabrielleAlmeidaAraujo@gustr.com
22224,519.279.570-28,Gabrielly Almeida Alves,Feminino,(21) 7614-3042,Casado,27/06/1984,26183-340,"Avenida Alexandrina, 1257",Nossa Senhora de Fátima,Belford Roxo,RJ, 69.90 ,172,5287 **** **** 0822,Jun / 22,MasterCard,GabriellyAlmeidaAlves@teleworm.us
22797,923.666.760-00,Giovana Almeida Alves,Feminino,(82) 5140-9215,Solteiro,03/08/1952,57312-670,"Avenida José Marques Freire, 311",Novo Horizonte,Arapiraca,AL, 89.40 ,168,5317 **** **** 5440,Mai / 22,MasterCard,GiovanaAlmeidaAlves@fleckens.hu
23341,434.730.766-78,Giovanna Almeida Alves,Feminino,(42) 9329-7850,Casado,13/09/1952,85060-290,"Rua São Jorge, 1534",São Cristóvão,Guarapuava,PR, 69.90 ,155,5279 **** **** 2635,Mai / 26,MasterCard,GiovannaAlmeidaAlves@fleckens.hu
23897,755.805.180-05,Guilherme Almeida Barros,Masculino,(81) 2679-3853,Solteiro,21/07/1960,54325-440,"Avenida Doutor Júlio Maranhão, 1114",Guararapes,Jaboatão dos Guararapes,PE, 84.30 ,168,5114 **** **** 7796,Set / 22,MasterCard,GuilhermeAlmeidaBarros@superrito.com
24409,136.433.462-39,Gustavo Almeida Araujo,Masculino,(47) 6029-9761,Solteiro,27/04/1932,89239-286,"Rua Alfredo Hibener, 1753",Centro (Pirabeiraba),Joinville,SC, 76.90 ,180,5527 **** **** 3387,Out / 26,MasterCard,GustavoAlmeidaAraujo@armyspy.com
24920,673.943.717-35,Igor Almeida Araujo,Masculino,(31) 5617-2655,Solteiro,10/11/1973,30850-477,"Beco São José, 1355",Conjunto Califórnia,Belo Horizonte,MG, 94.90 ,188,4532 **** **** 7622,Dez / 22,Visa,IgorAlmeidaAraujo@superrito.com
25396,350.721.929-89,Isabela Almeida Araujo,Feminino,(11) 2528-9076,Casado,16/06/1950,04875-120,"Rua Luiz Carlos Almeida, 931",Colônia (Zona Sul),São Paulo,SP, 100.20 ,159,5136 **** **** 4186,Jun / 23,MasterCard,IsabelaAlmeidaAraujo@fleckens.hu
25880,666.294.412-22,Isabella Almeida Alves,Feminino,(11) 9094-9309,Solteiro,17/11/1935,08750-130,"Avenida Inglaterra, 72",Jundiapeba,Mogi das Cruzes,SP, 67.50 ,162,5170 **** **** 7792,Ago / 23,MasterCard,IsabellaAlmeidaAlves@armyspy.com
26420,171.185.733-53,Isabelle Almeida Alves,Feminino,(63) 3325-5030,Casado,29/06/1941,77021-678,"Quadra 504 Sul Alameda 5, 324",Plano Diretor Sul,Palmas,TO, 61.30 ,158,5567 **** **** 4333,Set / 23,MasterCard,IsabelleAlmeidaAlves@teleworm.us
26949,815.325.810-92,João Almeida Alves,Masculino,(11) 7624-8257,Solteiro,15/11/1935,02342-145,"Via de Pedestre Benin, 798",Tucuruvi,São Paulo,SP, 75.50 ,167,4556 **** **** 2361,Ago / 24,Visa,JoaoAlmeidaAlves@superrito.com
26951,496.542.186-82,Joao Almeida Azevedo,Masculino,(91) 9379-4778,Solteiro,23/07/1933,68627-090,"Rua Recife, 1358",Trecho Seco,Paragominas,PA, 94.00 ,183,5315 **** **** 1772,Jan / 24,MasterCard,JoaoAlmeidaAzevedo@cuvox.de
27632,439.324.600-49,José Almeida Araujo,Masculino,(24) 9748-9978,Casado,26/09/1964,27524-020,"Rua José Benedito da Silva, 496",Alegria,Resende,RJ, 81.50 ,168,4532 **** **** 8860,Jun / 26,Visa,JoseAlmeidaAraujo@fleckens.hu
28125,452.594.286-09,Júlia Almeida Araujo,Feminino,(11) 8018-9825,Solteiro,19/05/1961,05411-000,"Rua Cristiano Viana, 1170",Cerqueira César,São Paulo,SP, 60.50 ,153,5163 **** **** 2294,Abr / 23,MasterCard,JuliaAlmeidaAraujo@cuvox.de
28129,616.795.827-04,Julia Almeida Carvalho,Feminino,(62) 8279-4330,Casado,31/01/1993,74956-460,"Rua Zeolita, 48",Pontal Sul - Acréscimo,Aparecida de Goiânia,GO, 68.00 ,155,4532 **** **** 4514,Jun / 25,Visa,JuliaAlmeidaCarvalho@jourrapide.com
28833,575.946.902-90,Julian Almeida Alves,Masculino,(85) 6917-9318,Solteiro,20/05/1977,60868-260,"Rua Citrino, 1454",Passaré,Fortaleza,CE, 99.70 ,167,5442 **** **** 9332,Out / 24,MasterCard,JulianAlmeidaAlves@fleckens.hu
29317,282.353.548-96,Julieta Almeida Barbosa,Feminino,(11) 4374-7390,Casado,03/09/1942,06386-490,"Viela Irece, 269",Jardim Ana Maria,Carapicuíba,SP, 95.20 ,152,4716 **** **** 2146,Nov / 24,Visa,JulietaAlmeidaBarbosa@teleworm.us
29854,965.394.558-01,Júlio Almeida Araujo,Masculino,(18) 3043-8310,Solteiro,16/10/1983,16901-326,"Rua Bahia, 1501",Vila Mineira,Andradina,SP, 96.20 ,185,5466 **** **** 7920,Dez / 26,MasterCard,JulioAlmeidaAraujo@gustr.com
30304,826.653.935-90,Kai Almeida Alves,Masculino,(64) 5264-8574,Solteiro,13/04/1992,75806-330,"Rua do Bosque, 1324",Dom Abel,Jataí,GO, 93.80 ,176,4916 **** **** 9399,Jan / 25,Visa,KaiAlmeidaAlves@gustr.com
30799,952.825.115-33,Kauã Almeida Alves,Masculino,(21) 8852-4619,Solteiro,28/04/1975,24740-080,"Rua Bernardo da Costa, 1208",Coelho,São Gonçalo,RJ, 89.70 ,177,5587 **** **** 7950,Dez / 22,MasterCard,KauaAlmeidaAlves@dayrep.com
30802,519.537.269-17,Kaua Almeida Barbosa,Masculino,(61) 5420-7723,Solteiro,26/07/1987,72745-004,"Quadra Quadra 45 Conjunto D, 669",Vila São José (Brazlândia),Brasília,DF, 65.40 ,186,5107 **** **** 9182,Jun / 22,MasterCard,KauaAlmeidaBarbosa@superrito.com
31478,564.003.395-90,Kauan Almeida Araujo,Masculino,(11) 6716-4554,Solteiro,15/06/1979,05572-070,"Rua Pedro Ferrer, 754",Parque Ipê,São Paulo,SP, 101.60 ,175,5188 **** **** 8997,Mar / 22,MasterCard,KauanAlmeidaAraujo@fleckens.hu
31950,534.927.893-23,Kauê Almeida Araujo,Masculino,(11) 2487-4624,Solteiro,24/06/1986,09050-390,"Rua General Góes Monteiro, 752",Vila Scarpelli,Santo André,SP, 91.50 ,170,4532 **** **** 5289,Mar / 23,Visa,KaueAlmeidaAraujo@fleckens.hu
32451,741.025.649-42,Lara Almeida Alves,Feminino,(41) 4949-4469,Casado,12/07/1946,83311-196,"Rua Pedro Minoli, 1194",Vila Mariana,Piraquara,PR, 75.10 ,162,5233 **** **** 8932,Mai / 22,MasterCard,LaraAlmeidaAlves@jourrapide.com
32972,492.606.294-11,Larissa Almeida Araujo,Feminino,(65) 4871-9535,Casado,26/08/1950,78055-105,"Rua Sorocaba, 464",CPA I,Cuiabá,MT, 94.70 ,165,4485 **** **** 2060,Jan / 22,Visa,LarissaAlmeidaAraujo@armyspy.com
33511,906.512.410-14,Laura Almeida Alves,Feminino,(47) 7706-3252,Solteiro,22/08/1973,89239-284,"Rua Expedicionário João Ramos Boegershausen, 1158",Centro (Pirabeiraba),Joinville,SC, 77.40 ,171,5139 **** **** 1247,Out / 25,MasterCard,LauraAlmeidaAlves@dayrep.com
34023,443.969.656-21,Lavinia Almeida Araujo,Feminino,(21) 4852-8224,Casado,12/03/1935,21330-600,"Rua Namur, 479",Vila Valqueire,Rio de Janeiro,RJ, 84.30 ,150,4539 **** **** 9982,Nov / 26,Visa,LaviniaAlmeidaAraujo@teleworm.us
34550,821.648.073-32,Leila Almeida Alves,Feminino,(27) 6398-8828,Solteiro,24/04/1983,29120-630,"Rua Ana Nery, 1507",Aribiri,Vila Velha,ES, 64.60 ,162,4532 **** **** 5692,Set / 25,Visa,LeilaAlmeidaAlves@superrito.com
35060,807.107.012-25,Leonardo Almeida Alves,Masculino,(42) 4982-8792,Solteiro,31/08/1984,84060-635,"Rua Praia de Ubatuba, 1985",Contorno,Ponta Grossa,PR, 95.90 ,183,4916 **** **** 2805,Mai / 25,Visa,LeonardoAlmeidaAlves@teleworm.us
35544,864.796.598-13,Leonor Almeida Araujo,Feminino,(61) 4880-9218,Casado,29/07/1946,72862-522,"Quadra Quadra 22, 1799",Loteamento Lunabel 3,Novo Gama,GO, 55.00 ,170,5451 **** **** 7578,Out / 26,MasterCard,LeonorAlmeidaAraujo@rhyta.com
36052,405.387.927-28,Letícia Almeida Barbosa,Feminino,(86) 4717-9860,Casado,08/04/1967,64062-240,"Rua Professora Pequena Rubim, 1914",Morros,Teresina,PI, 98.80 ,154,4929 **** **** 6000,Abr / 25,Visa,LeticiaAlmeidaBarbosa@rhyta.com
36555,132.253.852-20,Livia Almeida Araujo,Feminino,(71) 9843-2279,Solteiro,13/09/1942,41500-206,"Rua Getúlio Vargas de São Cristóvão, 1404",São Cristóvão,Salvador,BA, 50.20 ,166,5592 **** **** 5084,Dez / 24,MasterCard,LiviaAlmeidaAraujo@armyspy.com
37063,365.795.194-60,Luan Almeida Azevedo,Masculino,(54) 3991-4556,Solteiro,14/07/1962,95032-580,"Rua Angelo Tonet, 590",Santa Catarina,Caxias do Sul,RS, 94.70 ,183,4716 **** **** 6033,Mar / 22,Visa,LuanAlmeidaAzevedo@dayrep.com
37586,748.438.206-01,Luana Almeida Araujo,Feminino,(34) 2669-2267,Casado,25/06/1994,38701-378,"Rua Tupinambás, 1846",Caramuru,Patos de Minas,MG, 76.60 ,156,4916 **** **** 2962,Out / 24,Visa,LuanaAlmeidaAraujo@fleckens.hu
38093,168.545.443-78,Lucas Almeida Azevedo,Masculino,(65) 7704-3308,Solteiro,22/07/1964,78093-100,"Rua Trinta, 1206",São João Del Rey,Cuiabá,MT, 95.10 ,179,5479 **** **** 4617,Jul / 26,MasterCard,LucasAlmeidaAzevedo@rhyta.com
38584,497.686.975-04,Luis Almeida Alves,Masculino,(47) 9107-4683,Solteiro,16/01/1948,88352-220,"Rua José Heckert, 842",Santa Terezinha,Brusque,SC, 76.90 ,174,5149 **** **** 8154,Jul / 22,MasterCard,LuisAlmeidaAlves@gustr.com
38586,133.459.997-14,Luís Almeida Azevedo,Masculino,(81) 9850-4731,Solteiro,22/04/1936,54515-181,"Travessa Canal, 368",COHAB,Cabo de Santo Agostinho,PE, 75.70 ,168,5450 **** **** 6154,Ago / 25,MasterCard,LuisAlmeidaAzevedo@fleckens.hu
39270,973.847.646-10,Luiz Almeida Barbosa,Masculino,(71) 3651-3413,Solteiro,15/06/1993,40391-392,"Parque Renato Schindler, 2000",São Caetano,Salvador,BA, 80.90 ,182,4929 **** **** 9001,Jun / 25,Visa,LuizAlmeidaBarbosa@fleckens.hu
39729,828.939.050-56,Luiza Almeida Araujo,Feminino,(71) 2152-5079,Casado,15/02/1943,40711-040,"Vila Teskei, 1013",Alto da Terezinha,Salvador,BA, 74.20 ,165,4929 **** **** 1552,Fev / 22,Visa,LuizaAlmeidaAraujo@dayrep.com
40238,238.085.992-27,Manuela Almeida Alves,Feminino,(21) 7213-9780,Solteiro,13/07/1990,21210-700,"Rua Fernando Gross, 5",Penha Circular,Rio de Janeiro,RJ, 89.60 ,164,5169 **** **** 5617,Mar / 23,MasterCard,ManuelaAlmeidaAlves@einrot.com
40780,593.694.184-15,Marcos Almeida Araujo,Masculino,(21) 7080-3976,Solteiro,27/10/1934,22061-070,"Travessa Maria Amélia, 1264",Copacabana,Rio de Janeiro,RJ, 97.00 ,170,5332 **** **** 4605,Nov / 22,MasterCard,MarcosAlmeidaAraujo@jourrapide.com
41270,510.420.962-87,Maria Almeida Azevedo,Feminino,(11) 7514-5383,Casado,06/04/1931,11370-610,"Rua São Cristóvão, 1349",Jardim Paraíso,São Vicente,SP, 88.40 ,168,4916 **** **** 1493,Jan / 24,Visa,MariaAlmeidaAzevedo@gustr.com
41786,192.204.939-50,Mariana Almeida Alves,Feminino,(48) 4217-8886,Solteiro,21/11/1932,88058-074,"Servidão Flamingo, 280",Ingleses do Rio Vermelho,Florianópolis,SC, 55.50 ,167,4485 **** **** 9666,Set / 25,Visa,MarianaAlmeidaAlves@teleworm.us
42318,478.351.751-77,Marina Almeida Barros,Feminino,(11) 2761-8966,Solteiro,27/08/1984,03939-040,"Rua Juvenília, 1838",Jardim São Gabriel,São Paulo,SP, 56.40 ,157,4929 **** **** 1418,Nov / 22,Visa,MarinaAlmeidaBarros@cuvox.de
42810,437.289.351-58,Marisa Almeida Alves,Feminino,(42) 7763-4780,Solteiro,03/05/1967,85045-350,"Rua Eugênio Martins, 742",Bonsucesso,Guarapuava,PR, 103.30 ,165,4929 **** **** 4568,Mar / 22,Visa,MarisaAlmeidaAlves@cuvox.de
43315,503.923.332-95,Martim Almeida Alves,Masculino,(27) 2735-3322,Solteiro,14/09/1968,29703-141,"Rua Amélia Casotti V Vasconcellos, 1804",São Silvano,Colatina,ES, 74.90 ,183,4716 **** **** 4282,Mar / 24,Visa,MartimAlmeidaAlves@fleckens.hu
43809,655.029.978-04,Mateus Almeida Alves,Masculino,(11) 8418-8012,Solteiro,02/03/1974,02990-140,"Rua Nandaia, 395",Jardim Shangrilá (Zona Norte),São Paulo,SP, 84.90 ,170,5224 **** **** 7880,Mar / 22,MasterCard,MateusAlmeidaAlves@rhyta.com
44318,738.557.934-50,Matheus Almeida Alves,Masculino,(18) 6081-3525,Solteiro,21/04/1939,16072-355,"Rua Doutor José Domingos de Almeida, 542",Planalto,Araçatuba,SP, 68.90 ,180,4916 **** **** 1210,Out / 25,Visa,MatheusAlmeidaAlves@gustr.com
44833,998.218.172-62,Matilde Almeida Araujo,Feminino,(91) 5149-5389,Solteiro,11/02/1947,66825-330,"Passagem Natal, 214",Tapanã (Icoaraci),Belém,PA, 82.80 ,154,5436 **** **** 3216,Fev / 25,MasterCard,MatildeAlmeidaAraujo@jourrapide.com
45359,408.595.615-93,Melissa Almeida Alves,Feminino,(24) 7332-9622,Solteiro,05/09/1951,27323-060,"Praça Professora Jandira Reis Oliveira, 1198",Santa Rosa,Barra Mansa,RJ, 52.10 ,157,4716 **** **** 0758,Dez / 26,Visa,MelissaAlmeidaAlves@einrot.com
45885,858.355.740-37,Miguel Almeida Azevedo,Masculino,(71) 8335-7629,Solteiro,21/08/1934,40370-045,"Vila Laurindo Rabello, 843",Liberdade,Salvador,BA, 92.40 ,168,5152 **** **** 4846,Dez / 24,MasterCard,MiguelAlmeidaAzevedo@rhyta.com
46360,603.283.377-14,Murilo Almeida Alves,Masculino,(31) 9061-7148,Solteiro,23/09/1971,32185-368,"Rua das Bungavílias, 1974",Bom Jesus,Contagem,MG, 99.90 ,172,5245 **** **** 1426,Jun / 22,MasterCard,MuriloAlmeidaAlves@armyspy.com
